,g(f-sys),g_flux,g_full,g_mod,g_sys,r(f-sys),r_flux,r_full,r_mod,r_sys,z(f-sys),z_flux,z_full,z_mod,z_sys
7800.14562,0.998804918739,1.001135,1.00233008126,1.0,0.00233008126142,,,,,,,,,,
7800.146361,0.999544955899,1.002254,1.0027090441,1.0,0.00270904410094,,,,,,,,,,
7800.147113,0.99919375744,1.00167,1.00247624256,1.0,0.00247624256033,,,,,,,,,,
7800.147854,0.999004229951,1.001571,1.00256677005,1.0,0.00256677004881,,,,,,,,,,
7800.148606,0.997720811269,0.999457,1.00173618873,1.0,0.00173618873121,,,,,,,,,,
7800.149347,0.998908700213,1.001465,1.00255629979,1.0,0.00255629978709,,,,,,,,,,
7800.150065,1.00093361204,1.003101,1.00216738796,1.0,0.00216738796171,,,,,,,,,,
7800.150817,0.998905148751,1.002003,1.00309785125,1.0,0.00309785124887,,,,,,,,,,
7800.151546,1.00021843618,1.003113,1.00289456382,1.0,0.00289456382031,,,,,,,,,,
7800.152299,0.999542531619,1.002857,1.00331446838,1.0,0.00331446838058,,,,,,,,,,
7800.153028,0.996677788404,0.999826,1.0031482116,1.0,0.0031482115962,,,,,,,,,,
7800.153768,0.999698515022,1.002396,1.00269748498,1.0,0.00269748497819,,,,,,,,,,
7800.154498,1.00016751689,1.002933,1.00276548311,1.0,0.00276548311282,,,,,,,,,,
7800.155238,0.99912892135,1.002015,1.00288607865,1.0,0.00288607864995,,,,,,,,,,
7800.155979,0.996981070387,0.999986,1.00300492961,1.0,0.0030049296133,,,,,,,,,,
7800.157461,1.00116136854,1.003511,1.00213409957,0.999784468101,0.00234963146422,,,,,,,,,,
7800.158201,0.998572109788,1.000775,1.00158491396,0.999382023748,0.00220289021173,,,,,,,,,,
7800.158942,0.997240382277,0.999426,1.00105058923,0.998864971503,0.00218561772253,,,,,,,,,,
7800.159695,0.997915674616,1.000691,1.00102421311,0.998248887729,0.0027753253836,,,,,,,,,,
7800.160436,0.99834934127,1.000864,1.00008367931,0.99756902058,0.00251465872994,,,,,,,,,,
7800.161177,0.997234093709,1.000394,0.999987246378,0.996827340087,0.00315990629105,,,,,,,,,,
7800.161906,0.998916004381,1.001454,0.998584049364,0.996046053746,0.0025379956186,,,,,,,,,,
7800.162658,0.995053299216,0.998323,0.998464058044,0.99519435726,0.00326970078397,,,,,,,,,,
7800.163399,0.995452798241,0.997266,0.996130044501,0.994316842742,0.0018132017592,,,,,,,,,,
7800.16414,0.991872075835,0.99436,0.995896124351,0.993408200186,0.00248792416539,,,,,,,,,,
7800.164869,0.992888328439,0.995473,0.995075156485,0.992490484923,0.00258467156132,,,,,,,,,,
7800.16561,0.989623732533,0.992619,0.994535614085,0.991540346618,0.00299526746746,,,,,,,,,,
7800.166362,0.992258766534,0.995045,0.993351978849,0.990565745383,0.0027862334663,,,,,,,,,,
7800.167091,0.98927405815,0.99175,0.992094722823,0.989618780974,0.00247594184976,,,,,,,,,,
7800.16782,0.98838918144,0.990261,0.99054996689,0.98867814833,0.00187181856016,,,,,,,,,,
7800.168584,0.986837062774,0.988882,0.989754551224,0.987709613998,0.0020449372262,,,,,,,,,,
7800.169337,0.984283941748,0.986816,0.98931694225,0.986784883998,0.00253205825163,,,,,,,,,,
7800.170066,0.987748186389,0.990104,0.988288489379,0.985932675768,0.00235581361075,,,,,,,,,,
7800.170818,0.984398661758,0.986763,0.987482638789,0.985118300547,0.00236433824211,,,,,,,,,,
7800.171536,0.984580276788,0.986443,0.986293413529,0.984430690316,0.00186272321219,,,,,,,,,,
7800.172288,0.980362548208,0.982895,0.986398987346,0.983866535554,0.00253245179202,,,,,,,,,,
7800.173029,0.985169147178,0.988124,0.986549480104,0.983594627282,0.00295485282154,,,,,,,,,,
7800.173758,0.982556711652,0.985502,0.986296810919,0.983351522571,0.00294528834766,,,,,,,,,,
7800.174499,0.985255311075,0.987742,0.985589453968,0.983102765044,0.00248668892463,,,,,,,,,,
7800.175239,0.983721727156,0.98715,0.986282462354,0.98285418951,0.00342827284408,,,,,,,,,,
7800.17598,0.984395822926,0.987233,0.985443223753,0.982606046679,0.00283717707437,,,,,,,,,,
7800.176732,0.983920657989,0.9871,0.985535004144,0.982355662133,0.00317934201063,,,,,,,,,,
7800.177473,0.982461936465,0.984597,0.984245904452,0.982110840917,0.00213506353535,,,,,,,,,,
7800.178214,0.980528627537,0.9833,0.984639649328,0.981868276865,0.00277137246303,,,,,,,,,,
7800.178955,0.979316255338,0.981622,0.9839340105,0.981628265838,0.00230574466176,,,,,,,,,,
7800.179707,0.978591359488,0.981711,0.98450719252,0.981387552008,0.0031196405123,,,,,,,,,,
7800.180436,0.981070399082,0.983222,0.983308752095,0.981157151177,0.00215160091807,,,,,,,,,,
7800.181177,0.983814167572,0.986272,0.983383939198,0.98092610677,0.00245783242786,,,,,,,,,,
7800.181906,0.981822437625,0.984481,0.983360608666,0.980702046292,0.00265856237476,,,,,,,,,,
7800.182624,0.980175580895,0.982275,0.982584050584,0.980484631479,0.00209941910481,,,,,,,,,,
7800.183353,0.977773849046,0.980959,0.983452459291,0.980267308337,0.00318515095388,,,,,,,,,,
7800.184094,0.979396745325,0.981537,0.982190295813,0.980050041138,0.00214025467462,,,,,,,,,,
7800.184834,0.981458768622,0.983948,0.982326043812,0.979836812433,0.00248923137831,,,,,,,,,,
7800.185575,0.978922551448,0.982044,0.982748575415,0.979627126863,0.00312144855206,,,,,,,,,,
7800.186327,0.982430395545,0.98456,0.981547927516,0.979418323061,0.00212960445528,,,,,,,,,,
7800.187069,0.977969008556,0.980882,0.982129298222,0.979216306778,0.00291299144384,,,,,,,,,,
7800.18781,0.980744715434,0.98311,0.981383883423,0.979018598858,0.00236528456562,,,,,,,,,,
7800.188551,0.978133948313,0.980902,0.981593030464,0.978824978776,0.00276805168714,,,,,,,,,,
7800.189303,0.978026998572,0.98062,0.981225716298,0.97863271487,0.0025930014277,,,,,,,,,,
7800.190044,0.977226193702,0.979566,0.980787284351,0.978447478053,0.00233980629827,,,,,,,,,,
7800.190784,0.978296558713,0.980779,0.980749149731,0.978266708445,0.00248244128662,,,,,,,,,,
7800.191525,0.972547164093,0.97525,0.980792791979,0.978089956073,0.00270283590661,,,,,,,,,,
7800.192254,0.978630583675,0.980611,0.979900678421,0.977920262095,0.00198041632537,,,,,,,,,,
7800.192995,0.977111530438,0.980319,0.980959542064,0.977752072502,0.00320746956161,,,,,,,,,,
7800.193736,0.979816294229,0.982005,0.979776951976,0.977588246205,0.00218870577126,,,,,,,,,,
7800.194476,0.977363814329,0.980631,0.980696209567,0.977429023896,0.00326718567112,,,,,,,,,,
7800.195217,0.97891492196,0.982488,0.980847079776,0.977274001736,0.00357307803996,,,,,,,,,,
7800.195958,0.976786550766,0.980003,0.980339871796,0.977123422562,0.00321644923413,,,,,,,,,,
7800.19671,0.975582409795,0.97775,0.979142764343,0.976975174138,0.00216759020532,,,,,,,,,,
7800.197451,0.977803303578,0.981314,0.980344311698,0.976833615276,0.00351069642242,,,,,,,,,,
7800.198192,0.977677370723,0.980615,0.979634193588,0.976696564311,0.00293762927672,,,,,,,,,,
7800.198921,0.978389553208,0.981162,0.97933859678,0.976566149988,0.00277244679181,,,,,,,,,,
7800.199662,0.976961762339,0.979776,0.979252333811,0.97643809615,0.00281423766116,,,,,,,,,,
7800.200402,0.979679693754,0.98273,0.979365072488,0.976314766243,0.00305030624556,,,,,,,,,,
7800.201155,0.976389766614,0.979256,0.979060187527,0.976193954141,0.00286623338648,,,,,,,,,,
7800.201895,0.974794971223,0.978054,0.979338874624,0.976079845847,0.00325902877683,,,,,,,,,,
7800.202625,0.977333872621,0.980243,0.978880905575,0.975971778196,0.00290912737945,,,,,,,,,,
7800.203365,0.973927061335,0.977025,0.978964741494,0.975866802829,0.00309793866519,,,,,,,,,,
7800.204118,0.976785653858,0.979918,0.978897067287,0.975764721145,0.00313234614211,,,,,,,,,,
7800.204858,0.977817494718,0.980216,0.978067574275,0.975669068993,0.00239850528241,,,,,,,,,,
7800.205588,0.976827187382,0.980005,0.978757065254,0.975579252636,0.00317781261781,,,,,,,,,,
7800.206328,0.975891805861,0.979068,0.978669014917,0.975492820778,0.00317619413914,,,,,,,,,,
7800.207069,0.97273283938,0.975413,0.978091097273,0.975410936653,0.00268016062034,,,,,,,,,,
7800.207798,0.977671302149,0.980597,0.978260639385,0.975334941534,0.0029256978506,,,,,,,,,,
7800.208551,0.977723372981,0.979904,0.977441830987,0.975261203968,0.0021806270186,,,,,,,,,,
7800.209291,0.974361215058,0.976544,0.977376243512,0.97519345857,0.00218278494205,,,,,,,,,,
7800.210044,0.975638821656,0.977673,0.97716351021,0.975129331865,0.0020341783443,,,,,,,,,,
7800.210784,0.973012289786,0.975638,0.977696754343,0.975071044128,0.00262571021437,,,,,,,,,,
7800.211537,0.972810465324,0.97573,0.977936087763,0.975016553087,0.00291953467627,,,,,,,,,,
7800.212277,0.976544599582,0.979169,0.97759214569,0.974967745272,0.00262440041793,,,,,,,,,,
7800.213018,0.973813755663,0.976493,0.977602831072,0.974923586735,0.00267924433675,,,,,,,,,,
7800.213759,0.974662805919,0.97792,0.978141344717,0.974884150637,0.00325719408077,,,,,,,,,,
7800.214488,0.96936627452,0.972352,0.977835690463,0.974849964982,0.00298572548037,,,,,,,,,,
7800.215241,0.97500472518,0.97686,0.976674734376,0.974819459557,0.00185527481953,,,,,,,,,,
7800.215994,0.972897356879,0.974777,0.976673483534,0.974793840412,0.00187964312128,,,,,,,,,,
7800.216734,0.974926517358,0.97802,0.97786690895,0.974773426308,0.00309348264223,,,,,,,,,,
7800.217452,0.977614202167,0.980479,0.977622931474,0.974758133641,0.00286479783282,,,,,,,,,,
7800.218204,0.975150068456,0.97773,0.977326816965,0.974746885421,0.00257993154361,,,,,,,,,,
7800.218945,0.972433325262,0.976327,0.978634249824,0.974740575086,0.00389367473772,,,,,,,,,,
7800.219686,0.976242814699,0.979138,0.977634188789,0.974739003488,0.00289518530069,,,,,,,,,,
7800.220427,0.975193613486,0.977951,0.977499557278,0.974742170765,0.0027573865136,,,,,,,,,,
7800.221167,0.977192555095,0.980386,0.977943507681,0.974750062777,0.00319344490467,,,,,,,,,,
7800.221908,0.974674701696,0.977619,0.977706998467,0.974762700163,0.00294429830437,,,,,,,,,,
