mjd,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_err_0,aperture_sum_err_1,aperture_sum_err_2,bkg,fwhm,id,peak_flux,uncertainty,xcenter,ycenter
57799.7613483667,412400.81875,585050.13390625,820873.469453125,383.74862755346754,393.1991587715231,404.4305657099482,36.28711794998707,6.843764702335831,1.0,456.6640625,23.4325008392334,704.7358174581723,741.0756869818624
57799.7620775402,412686.9271875,584016.320859375,817679.8809374999,390.1429332299459,399.28329082195853,410.2620970625154,36.67809205085395,6.613937351532453,1.0,465.42578125,24.59214973449707,704.956764815836,741.3263578475776
57799.7628182769,413123.3053125,583531.5895312501,818260.0426562501,385.0429618494378,394.18286770737245,405.36644113469185,36.76378375926279,6.701585874823513,1.0,449.0,23.836515426635742,705.068976193629,741.0869904460869
57799.7635590136,411629.12937499996,581506.104140625,815941.1923437499,388.7850092568534,397.8021566528635,408.73892804489014,35.723073122396286,6.47913993766211,1.0,451.5703125,23.633638381958008,704.5810450490097,741.0728360875758
57799.7643113434,410675.4659375,581341.87140625,813374.181015625,387.12599899227143,396.25979825850834,407.1752876091475,36.512141161673725,6.8817554328147,1.0,459.939453125,24.405643463134766,704.7717672952173,741.5260985376699
57799.7650520802,411382.73750000005,582629.735078125,818576.096640625,380.81098518294436,390.18655924087125,401.4998605263778,35.84431709618517,6.318106403648529,1.0,468.2109375,24.674455642700195,704.7906209714357,740.9529506737026
57799.7657928169,413821.159765625,583905.31390625,817949.3412499999,388.3862387278893,397.4162980806179,408.32272294538313,35.597706875884064,5.823865689477303,1.0,438.611328125,23.512540817260742,704.8731056206151,740.6768583791496
57799.766510427,414532.42421875,583008.56375,817820.5484374999,386.39508010948526,395.26144335222415,406.3117105704189,35.25210478760827,7.007732477515023,1.0,449.791015625,26.440526962280273,704.7397863056001,740.8676907231494
57799.767262727,408347.401953125,582407.84296875,814275.43515625,369.8998986450576,379.90163127702573,391.24453236839224,36.61620005708549,7.3923188641349435,1.0,450.685546875,24.131000518798828,704.9196073033611,741.3145207210392
57799.7680034637,411970.42375,582355.5875,817602.2598437502,385.0747877453613,394.25042547020365,405.3500368773502,35.32726392794614,6.68145925661314,1.0,454.85546875,25.338211059570312,704.7506615747657,740.7988492575219
57799.7687326372,413056.3421875,583556.9321875,820423.015078125,380.3091373928745,389.5513463502478,400.9364046671081,35.579435351384234,6.868637076646881,1.0,454.583984375,24.9176025390625,704.8068429697562,740.7606480289801
57799.7694733739,410804.39960937505,583065.4767187501,817692.013671875,378.1833071391115,387.7093478221435,399.0624197572106,36.33947800299508,6.783158630265473,1.0,452.53125,26.752138137817383,705.035737792157,741.0797543953845
57799.7702025473,412031.34164062503,580321.2068749999,813017.047578125,376.8825019832205,385.99828477967606,397.1169750553331,35.18153295744281,6.582361451549884,1.0,449.388671875,25.00621223449707,704.901005568221,740.7709387998553
57799.7709317207,407877.0615625001,578103.62015625,807027.8589843749,364.37724678930306,374.06576706915166,385.2990461170855,35.896195423471795,7.082953792069472,1.0,444.92578125,24.718223571777344,705.085006472515,741.1505992304221
57799.7716724575,410026.439453125,578722.08125,811295.339375,378.5319165907931,387.67987444531394,398.72787868477826,35.23677958064622,6.636124531194361,1.0,440.17578125,23.75176239013672,704.7999982224056,740.8936895177183
57799.7724247575,410544.4759375,579901.8260937501,811904.1946874999,377.9845734454732,387.1773123796179,398.25277152805063,35.7674137877957,7.102644296264022,1.0,469.197265625,23.904827117919922,704.8218319029247,741.1507871842489
57799.7731770873,411509.8540625,580952.452578125,813188.09265625,383.75956758949536,392.83716394764076,403.75124722716254,35.451427976278005,6.768048180861954,1.0,434.68359375,23.420034408569336,705.0119885143989,740.7844241001837
57799.773917824,409749.18796875,579111.2794531251,811279.1778125,377.94704729095844,387.1707134991604,398.2101553157487,35.19828543746946,6.383012121213762,1.0,453.9453125,24.22097396850586,704.9165167702182,740.7547238947607
57799.7746585608,411890.559296875,581034.544296875,811032.9747656251,384.74253740396733,393.7619772483427,404.5931178370798,36.486238506720866,6.969492977120109,1.0,445.197265625,24.773714065551758,704.9722177894663,741.488314633268
57799.7754108906,416779.412578125,597983.928828125,851259.7265625,390.71894936879977,400.90886197404217,413.44972793264753,37.38668025318067,6.683098319945727,1.0,467.86328125,23.679271697998047,704.5399462663818,740.6622422633405
57799.7761516273,417462.316171875,603754.90640625,859678.0907031251,379.0153633155207,390.08852140651254,403.4349588126027,39.39394700689243,6.711651613022605,1.0,483.228515625,25.133878707885742,705.0865207413398,740.8664559402412
57799.776892364,412894.868359375,587672.8578125,826968.54375,385.6110953658854,395.1803642665675,406.7506436107587,37.20608307368907,7.038977709266689,1.0,467.70703125,25.6076717376709,704.7501740912899,741.3073520744638
57799.777644664,410412.410078125,582870.6128906251,818767.9157031251,376.77461815081233,386.3359119272672,397.78055606006825,36.30250684669157,6.614503182996763,1.0,462.18359375,22.967866897583008,705.0223630737956,740.7835604410741
57799.7783854306,409262.25140624994,582294.416796875,819838.912421875,373.29376357484716,383.0049569890327,394.65348813037724,35.8402326124106,7.476567864313893,1.0,445.06640625,23.65569305419922,704.6119086315555,740.9904294946199
57799.7791261673,410078.58015625004,584186.16671875,819724.434921875,372.36319096592797,382.2743090421696,393.87210348281525,36.66188725298441,7.407735625271283,1.0,457.06640625,23.93326759338379,704.6046804918847,741.520451465058
57799.779866904,410978.77296875,584156.1440625,824151.4192968749,379.49139482635627,389.0577764623489,400.71585930383833,35.67637965438518,6.758867685398163,1.0,447.267578125,24.341758728027344,704.7748678628689,740.5726767088737
57799.780619204,408122.14375000005,584116.19421875,819874.3290625,371.5179220114858,381.6359269133126,393.40307611631005,37.81901063254909,7.4776590989629526,1.0,469.509765625,25.585344314575195,704.8554605831836,741.736524219198
57799.7813599408,408980.4059375,584418.569609375,826472.74078125,373.381089228045,383.3943546642186,395.39965299239924,36.04715321427591,6.5551220727003,1.0,456.5234375,24.588726043701172,704.6345967952115,740.6266452619216
57799.7821122706,410052.77749999997,587282.7184375001,828267.856484375,369.83245278227133,380.12616901658254,392.2881952033401,37.27541348014069,7.503943747008853,1.0,454.86328125,24.807601928710938,704.6415530826873,741.3451224059787
57799.7828530073,412766.786328125,587762.950390625,831597.2872656251,386.24081030866915,395.8189573162706,407.6670071309639,36.57445761478371,7.127467228696132,1.0,482.794921875,24.331512451171875,704.5155024164898,740.9925722592654
57799.783593744,412786.55328125,590667.543828125,835548.75125,383.1040459386616,393.073952321199,405.14749362311056,37.33224689613945,6.930703352393433,1.0,470.03125,24.32679557800293,704.7499702455203,740.9262014586692
57799.7843344808,413570.65945312503,589942.612578125,832428.936796875,386.21263034906144,395.9539425940849,407.7889544973781,37.38574503435626,6.919510653341675,1.0,471.75390625,24.159135818481445,704.7225914185298,741.2703196459286
