mjd,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_err_0,aperture_sum_err_1,aperture_sum_err_2,bkg,fwhm,id,peak_flux,uncertainty,xcenter,ycenter
57799.5959780067,1234068.3390624998,1827542.1128125,2488014.193828125,945.4602569467531,1018.7305874744102,1078.0401561192266,759.6048021512079,8.831494280781161,1.0,1990.51171875,51.53492736816406,913.9715151360028,258.6480336480068
57799.5963599533,1197974.573984375,1808440.19390625,2476306.5190624995,903.7256615047551,984.5061189187585,1047.0675486708067,758.8082879062031,9.341020601047514,1.0,2015.318359375,50.64036560058594,914.062213410922,258.16300006906755
57799.5967650488,1215267.181875,1814240.984921875,2476044.710859375,927.6359779358685,1003.4000335675106,1063.7869657185206,756.6232867360063,8.999547676781921,1.0,1989.072265625,49.77724075317383,914.4458539850959,257.9490225137902
57799.5971701369,1217912.6728125,1817588.6981249999,2481030.0774218747,927.8357379205115,1003.870808610779,1064.431481974352,758.2873348789072,9.011864311580998,1.0,1954.7734375,48.667171478271484,913.9510042415734,258.4957157287786
57799.5975752324,1207567.976640625,1811910.21265625,2479802.78125,920.8290391798972,998.3874772344084,1060.0729355636809,761.2118828316284,9.120698811481812,1.0,1990.60546875,46.74260711669922,913.7718883932793,258.70505058017216
57799.5979687497,1223151.320546875,1818768.1276562503,2485511.864140625,939.7966214531866,1013.8558950813527,1074.4594312902304,762.9510470240643,9.170449250349657,1.0,1947.880859375,47.89362716674805,913.0717754070068,259.1987891083008
57799.5983506963,1215633.351328125,1814340.0943749999,2482348.716015625,933.8475467475439,1008.9272949597967,1069.992916882039,761.4991813605088,8.774194878684966,1.0,1954.251953125,48.08969497680664,912.9338513643368,258.0479983102184
57799.5987442136,1223759.015703125,1820509.06328125,2483098.551953125,937.0529111024449,1011.49714793144,1071.4857869436787,757.1574498319997,8.92506555906538,1.0,1971.66015625,51.35833740234375,914.5398127559733,257.78128386082983
57799.5991377309,1254692.8795312499,1828232.6833593748,2481159.1371093746,981.7295540461221,1047.6876413822151,1104.145827359299,750.8288427582396,8.31719234344832,1.0,1923.501953125,47.27596664428711,914.020421359718,258.7638696237255
57799.5995312482,1212908.621953125,1815001.01703125,2475329.254765625,924.4159566798679,1001.2280740780402,1061.515836850664,752.4306057902942,9.084503320447777,1.0,1940.96875,48.099571228027344,914.0165377386961,258.09050832083176
57799.5999247655,1266224.894140625,1831588.3212499998,2475848.817734375,993.7514561985695,1057.1825079173354,1111.669725596309,744.1232292051614,8.37534253429284,1.0,1896.724609375,47.06401824951172,913.492277018628,258.33160260887104
57799.6003182903,1315659.07375,1845864.57171875,2475453.98,1087.1125122720182,1138.5625890849901,1187.0316254529362,736.2727143947292,7.264017957757756,1.0,1899.091796875,45.03569793701172,913.7339743803773,258.3501198499907
57799.6007118076,1334179.62984375,1849901.445546875,2472702.182109375,1113.5557667294688,1160.8809280357518,1207.4670969436047,730.8877163894166,7.169641429834588,1.0,1916.81640625,45.776798248291016,914.4810401247454,258.6996958782772
57799.6011168957,1293901.3709375,1832455.4139062501,2462747.636953125,1048.1776658745794,1102.9544756007851,1153.0900386722435,730.4396936638027,7.569073634801561,1.0,1863.59375,45.88603973388672,914.054552107673,258.168561214229
57799.6014988422,1300353.69640625,1842275.774921875,2471587.93828125,1042.4095799196923,1098.190660248631,1148.3151754634732,730.1492816840495,8.235235216714052,1.0,1872.041015625,45.39105987548828,912.2971133804609,258.33845810885214
57799.6018923596,1293303.671171875,1837993.1529687499,2469535.709921875,1038.3094726765255,1094.9047589145596,1145.5930648444617,733.7728308370503,7.878219628832941,1.0,1896.90625,46.86000442504883,914.6711115374883,258.3096605282819
57799.6022858769,1320931.6314843749,1849321.2050781252,2478247.2473437497,1081.520566315671,1132.6248816404247,1181.2590700864994,734.900078631446,7.453185058998082,1.0,1899.5234375,44.517093658447266,914.9372496328881,258.26263321714987
57799.6026909724,1322386.614296875,1850416.621640625,2479084.309765625,1076.1335388186549,1127.5096770313398,1176.2963482717778,733.6064448428781,7.736885388669036,1.0,1877.251953125,45.19454574584961,913.7513652070304,258.147434233364
57799.6030844897,1291225.99171875,1838451.76765625,2467333.518046875,1026.3884361091393,1084.1804146069217,1134.9243238167978,730.2602974820779,8.194093725695831,1.0,1859.294921875,43.633724212646484,913.6579538596536,258.9565256591652
57799.6034895852,1313915.805859375,1843074.7713281251,2467741.444296875,1074.9259541393185,1126.4441612820087,1174.6849201435034,727.7367615827304,7.448357493067361,1.0,1857.84765625,43.84391784667969,914.1084684657175,258.7688312804489
57799.6038831025,1310606.56765625,1847143.272890625,2475190.044921875,1068.1845949200274,1121.6392477691884,1170.6552625794375,732.2424010718169,7.48483422128369,1.0,1852.552734375,44.80350112915039,913.6279401122669,257.96430423249103
57799.6042766199,1280565.775625,1835513.2761718752,2472655.048984375,1020.7168745641563,1080.434153391901,1132.712274472526,736.6391777059953,8.055873611373734,1.0,1905.953125,45.570152282714844,913.5414314710686,258.52224288103145
57799.6046701372,1298507.5346093748,1843216.646640625,2475535.17984375,1040.1373285209108,1096.8102010974576,1147.4839390662682,734.5725304727362,8.071161287372554,1.0,1908.111328125,44.08115768432617,913.7581463943862,258.72266898845146
57799.6050636545,1293666.79890625,1841376.85953125,2474083.5071093747,1037.436708990545,1094.6401005151245,1145.5116555908467,733.4217521628491,7.862045240429124,1.0,1904.494140625,47.650726318359375,914.226965600427,258.5030893902405
57799.6054571792,1316582.3490625,1850277.5484375,2481536.73015625,1069.8986225675876,1122.794679221554,1172.1435111401709,733.861256362338,7.730449151689496,1.0,1876.33984375,43.59926986694336,913.6536610495097,258.41547938281747
57799.6058506966,1333381.474453125,1855167.65765625,2482372.88234375,1103.471190320541,1152.3847418545931,1199.9611657351504,735.1997572217051,7.296334333659342,1.0,1865.40234375,44.29544448852539,914.0832367544339,258.0287198387687
57799.6062557846,1328559.3653125,1854529.61671875,2480525.24796875,1093.8304287113713,1143.999885096511,1191.7614894687451,732.5221348369723,7.5129412745900215,1.0,1902.46484375,46.365516662597656,914.0907414310464,258.20943656089725
57799.6066493019,1322856.9932812501,1853482.8391406252,2484861.645703125,1087.9532326301442,1139.2956014305353,1188.0607106730165,737.8366148945748,7.388081803724958,1.0,1877.7109375,44.387535095214844,913.9113716218897,258.57974113265016
57799.6070428267,1334580.3871875,1859684.6491406248,2490895.360546875,1114.141933650229,1163.2396581760422,1210.9991897487057,739.0564142477259,7.135782755577853,1.0,1881.98828125,45.738792419433594,913.8896754997462,258.7145257253816
57799.607436344,1336062.2967187501,1858734.982421875,2491306.39390625,1117.047960424561,1165.5689484072623,1213.4035831532437,738.9031381367488,7.0639494406966765,1.0,1886.1796875,45.59508514404297,913.9798682705726,258.46027679952977
57799.6078298613,1339157.254453125,1863369.10703125,2500462.16421875,1115.8733036969584,1164.522110201307,1213.0846968019134,746.2623486307651,7.258479018417779,1.0,1932.599609375,47.57740783691406,914.3252607202528,257.8124842971502
57799.6082118079,1316451.7932031252,1856592.31109375,2503005.9407031247,1077.2558628661948,1130.5314583932409,1181.9724848903386,754.2116924828287,7.556533543433682,1.0,1914.98046875,44.581443786621094,913.5170394803072,258.63316964292346
57799.6086053252,1353689.4158593751,1870643.184375,2510219.653125,1181.095231887899,1226.079736280148,1272.7072929311848,755.0448448147474,6.350130398987518,1.0,1933.95703125,46.463321685791016,914.0955392053164,258.6368341928022
57799.6089872718,1356898.243515625,1870905.589296875,2511810.97515625,1172.7673247600746,1217.2941222085067,1264.362591241669,756.2167734403605,6.624402945894813,1.0,1929.36328125,43.3056755065918,914.3039106498526,258.0860150636813
57799.6093807891,1337126.0255468753,1869970.2282031248,2520730.40828125,1104.3801305893621,1155.1643091637534,1206.1430252238508,762.1983837747791,7.428679874149195,1.0,1940.396484375,45.16188430786133,913.8743562998486,258.1752491700532
57799.6097743064,1352104.02734375,1872227.688515625,2520897.005859375,1160.7792720056088,1206.8976161355777,1255.4988965208368,763.6055141814659,6.874655863352298,1.0,1958.88671875,46.39939498901367,913.4588931003939,258.2499804537532
57799.6101678237,1345253.823828125,1868948.6332031249,2515468.618671875,1143.6919223039527,1191.1838807731242,1240.0554325801656,760.5742443886503,6.902348038413768,1.0,1982.3359375,46.08956527709961,914.0090533692612,258.83985426433935
57799.6105729192,1327925.6311718752,1859260.8492968748,2507699.7700781245,1113.669642943221,1163.7150291994042,1214.040928189245,759.1752801022371,6.95556963363913,1.0,1963.408203125,47.88496017456055,914.837198048457,258.5549822867679
57799.6109664366,1325679.5389843748,1863422.4895312502,2511912.23453125,1093.3861676552676,1145.6915754580023,1196.779387786147,758.3240419490734,7.376697345213723,1.0,1929.83984375,43.50727844238281,913.7985284660199,258.79611342583075
57799.6113599539,1326058.7765625003,1862418.1360937501,2513895.6078125,1097.8029032436182,1149.4868014027481,1200.861769253639,762.6456042810923,7.306271616836215,1.0,1951.185546875,45.039241790771484,913.45592282821,258.2622766009034
57799.6117419004,1328653.3914062502,1867892.74609375,2523306.075078125,1102.93905649631,1154.971554930672,1206.7030697933446,766.8811711015256,7.150832240303455,1.0,1969.490234375,45.07202911376953,913.8930671675604,258.29299376956095
57799.6121354178,1322611.4942968749,1867899.563359375,2524234.0014062496,1092.2807210691694,1146.0069085117636,1198.279496214712,770.1740613642676,7.099999157979863,1.0,1982.75390625,47.12980270385742,913.8457243415932,258.32381425090574
57799.6125405058,1330052.110234375,1870026.0625,2528517.51078125,1101.2905341071066,1153.6743267680235,1205.9532403042388,772.4618210160518,7.240359639011834,1.0,1981.294921875,45.758644104003906,914.7872864834059,258.4095035996856
57799.6129340306,1333171.335390625,1867963.25296875,2527359.2971093752,1126.110987001897,1176.2878016552743,1227.7152121968356,775.4889226732782,6.922636839603107,1.0,1971.92578125,45.3748893737793,913.1658477782815,258.57198294662464
57799.6133391187,1281952.5476562502,1855136.4021875,2527923.2492968747,1015.3083755092097,1078.980702011162,1137.0831843165302,781.3145109180714,7.968305186893232,1.0,1992.146484375,48.54887771606445,914.6715300448946,258.6301986151728
57799.613732636,1275557.3903124998,1852737.571484375,2527333.8728125,1004.5971666366353,1069.7580353367207,1128.653569165789,781.379842399493,8.123665154902401,1.0,2008.39453125,47.223575592041016,913.7819748091788,258.4296379718691
