mjd,aperture_sum_0,aperture_sum_1,aperture_sum_err_0,aperture_sum_err_1,bkg,fwhm,id,peak_flux,uncertainty,xcenter,ycenter
57799.6048900485,876140.31,934462.2434375,671.2012225768511,675.0563794558428,731.4391297163734,6.879044298855538,1.0,848.06640625,32.46715545654297,910.0890517964945,244.91655512988626
57799.6056307852,882543.486328125,938934.27703125,699.9476840131534,703.3981946689366,725.5608298156417,6.495045738843303,1.0,829.267578125,31.233205795288086,910.0864047409125,244.6105981933165
57799.6063831002,879869.5139843749,936582.2667187501,689.511022976295,693.0634644615776,727.3333523334232,6.745043830709731,1.0,825.10546875,30.940387725830078,910.0766966382148,244.89428935622325
57799.6071238443,882302.499765625,937942.672578125,717.8188057154431,721.0931398268807,729.2778222208809,6.17018327598545,1.0,845.103515625,30.939794540405273,910.1719891416892,244.97373994151548
57799.607864581,877685.3702343749,934314.801796875,695.5909307826408,699.081311558563,727.2141464385477,6.566919248230597,1.0,863.794921875,32.4761962890625,910.1247176762884,244.60926283682497
57799.6086053252,887706.2083593751,942175.968671875,766.293830566183,769.2361852722134,740.3243913663877,5.716936949478659,1.0,841.724609375,30.95560073852539,910.4392366758861,244.90037668817388
57799.6093576401,882787.366796875,938740.8063281251,725.2794652899676,728.5450563759042,735.9931329997553,6.283654880887446,1.0,859.751953125,32.77983093261719,909.8973144645497,244.6741413108454
57799.6100868061,882015.1849999999,938515.324453125,725.9798745313036,729.3143114711838,756.3565001556628,6.116116146532819,1.0,856.212890625,30.554899215698242,910.5182678710876,245.27228706998397
57799.6108275428,881162.2987500001,939502.373046875,692.3006800009995,696.0324140366007,761.481919445418,6.555159904909313,1.0,864.482421875,32.063697814941406,910.1820838643531,245.11854759001562
57799.6115798578,885081.47875,944180.769921875,706.757689113614,710.499849307147,760.7257117878763,6.401038074041985,1.0,886.265625,32.335716247558594,909.8108830200135,244.763239025276
57799.6123321727,882782.0859375,940547.880703125,706.044260031381,709.627116823787,763.1169319321858,6.370317994849635,1.0,885.306640625,32.25099182128906,910.7601125980136,244.8344111618046
57799.6130729169,870334.633984375,930455.64375,669.3622160408537,673.4670267527575,763.5002058487079,6.5866486279073575,1.0,864.142578125,32.912410736083984,910.217426472247,245.10690052873267
57799.6138020828,865882.3920312499,927208.8040625,640.3994384679769,644.8482293875392,757.4616441220156,7.313388918409842,1.0,876.62890625,32.590023040771484,909.6939287781631,244.9058635297815
57799.614542827,855877.736796875,920356.411953125,614.5934378462636,619.7213239700887,772.7236575581923,7.464344016463447,1.0,884.646484375,32.009490966796875,910.3933205156799,244.8419864811836
57799.6152835637,872489.034453125,932396.8990624999,663.050466754468,667.1580155671091,768.6870314005733,6.846692083707704,1.0,876.958984375,32.44941711425781,910.5558492112817,245.32983817495452
57799.6160358787,872241.957421875,931634.8075,667.9782635904198,671.9806822232235,747.2302371895244,6.797466902720882,1.0,853.984375,30.761877059936523,909.9834282744374,244.81587075629065
57799.6167766228,854665.024453125,917766.386328125,609.1521208803149,614.0961687898728,757.7378482036603,7.687548441964254,1.0,876.154296875,32.44244384765625,910.4186512555711,244.70499034619996
57799.6175173596,847211.0333593751,911472.338046875,595.0568438769217,600.315854429946,758.7967610150805,7.7747048767350115,1.0,857.51953125,31.544225692749023,910.5656156902153,244.75535892267956
57799.6182465255,830753.474765625,897742.857265625,556.2727122236763,562.4150164803872,749.2941955321093,8.74835808348736,1.0,869.01171875,35.16120147705078,911.1272068778183,244.4947470225864
57799.6189872697,839500.1184375,903706.302265625,583.3674617618855,588.7516783350775,748.756491555998,7.957432582080782,1.0,880.515625,31.857257843017578,910.2257110012724,245.33933273193736
57799.6197395846,845605.085078125,908895.1159375,594.4374842239104,599.5522394940955,733.5438948277038,7.832457899815194,1.0,858.78125,33.73397445678711,910.5558096289315,244.84339315640182
57799.6204803213,851252.031484375,914649.9886718751,603.2333638339068,608.2921682548149,742.6589609775069,7.608097246126261,1.0,916.767578125,35.6392936706543,910.4015608714997,244.5929237802053
57799.6212326363,863284.32859375,922497.75328125,635.0129878807376,639.2057669873577,723.9517191158698,7.57731803145451,1.0,846.4609375,31.561527252197266,909.8175457704547,245.5721989291691
57799.6219733804,856584.79421875,916785.4953125,626.5518033760998,630.9533806991786,722.559536635957,7.351161948691306,1.0,847.314453125,33.4040641784668,910.8007967260967,244.54807618774126
