,z_a_flux,z_a_fwhm,z_a_x,z_a_y,z_b_flux,z_b_fwhm,z_b_x,z_b_y,z_c_flux,z_c_fwhm,z_c_x,z_c_y
2017-02-15 15:14:51.360999,1501971.40767,2.06485902707,38.9529798958,36.5883394568,1406045.95719,5.5197163879,38.9993037399,36.7238102463,1055960.34953,0.332541729463,39.2881491561,38.0673888982
2017-02-15 15:15:55.481492,1492300.55411,6.15523738178,38.8647841073,36.6308759562,1400992.66499,0.34016082939,38.900176595,36.7619676472,1054692.91354,0.328689843953,39.229678773,38.1267179563
2017-02-15 15:16:59.641146,1487692.0726,2.35321761961,38.9153165189,36.507927881,1392138.67184,0.333271662346,38.9418531196,36.6417858342,1039438.46614,0.32547339516,39.2453614291,38.0492645236
2017-02-15 15:18:02.491639,1513394.12401,1.9953225867,39.0789721356,36.640577082,1422461.12045,2.36005009887,39.0770615212,36.7638985896,1061702.13087,0.323951455975,39.3518918222,38.1235744035
2017-02-15 15:19:07.168384,1518160.95819,0.338230412717,38.8873426492,36.586069481,1416968.17073,0.331027018725,38.9212357018,36.71913215,1060212.67226,0.316705708892,39.2596166885,38.0939720404
2017-02-15 15:20:11.685956,1512267.24834,2.55914078268,38.9569128492,36.562719234,1414861.31893,0.328337895736,38.9683330494,36.6828768119,1053515.58197,0.317351286489,39.3145750791,38.0752898633
2017-02-15 15:21:16.465430,1493404.76345,2.80217061963,38.9577216137,36.5115555745,1397706.77934,0.331598487187,38.9750464899,36.6536041027,1041358.16584,0.32105467301,39.2676197575,38.0478046716
2017-02-15 15:22:20.779070,1505126.21699,0.33383660415,38.8901634438,36.5899805291,1414823.54305,0.325822641482,38.8981429708,36.706723423,1051244.35669,2304919.11286,39.2639296593,38.0634039653
2017-02-15 15:23:24.952523,1502310.6943,2.06858003139,38.8581147294,36.5809040276,1408837.78481,0.334753388903,38.8941872116,36.712431684,1052037.61359,0.326476535303,39.2511863412,38.1103224249
2017-02-15 15:24:29.612094,1506608.44439,0.336287504164,38.9275135493,36.5644365071,1412348.35879,0.333330718064,38.9295188019,36.6955293788,1051639.17238,0.326751742668,39.2665967891,38.0859150158
2017-02-15 15:25:32.407771,1503787.58823,2410718.28858,38.9822908159,36.5101682644,1407433.70093,0.326462885467,38.9815126769,36.6342101158,1045199.66237,0.330994911784,39.3211413785,38.0654064974
2017-02-15 15:26:36.569257,1492960.13949,0.334286838206,38.8925201654,36.4185870209,1394089.05343,0.332966207786,38.9335711664,36.574727236,1028588.71126,0.321497257543,39.2759290799,38.0157356709
2017-02-15 15:27:39.277036,1505747.78506,2.32567504638,38.9332667728,36.5939558153,1417751.98786,0.330473586294,38.9316750053,36.6940973199,1050400.87902,0.323871311436,39.276325459,38.0964890944
2017-02-15 15:28:43.789321,1483962.30757,0.336766511653,38.863193873,36.5185179457,1388610.29575,0.328922698227,38.8852182426,36.6397446541,1031373.85669,0.329134849665,39.2455853626,38.0752282159
2017-02-15 15:29:47.950881,1501498.98834,0.335170077346,38.9148928298,36.548278556,1407196.04705,0.328963647736,38.9563506464,36.6777428337,1043202.76297,0.319375988791,39.2772007653,38.0588993999
2017-02-15 15:30:52.128533,1487333.54965,4.95481738618,39.0210329983,36.4072624465,1391017.02579,0.32690624197,39.0238556875,36.5557009744,1028209.28743,0.318755640583,39.3173161842,38.0153423233
2017-02-15 15:31:56.857093,1514982.08517,0.326538468365,38.9415630139,36.6345469249,1428079.8606,0.326154974639,38.9511657812,36.7325045936,1055102.89433,0.31763863484,39.2733485789,38.0899376928
2017-02-15 15:33:01.071594,1496299.68532,0.323380022603,38.8558783395,36.4880542395,1399829.40237,0.315008988643,38.889024306,36.6019916694,1035160.56275,0.314114520845,39.2317289905,38.0206624557
2017-02-15 15:34:05.399314,1502002.32145,0.323347354229,39.0046349283,36.4978872502,1412660.96471,0.314684620814,39.0311378465,36.6114131315,1040273.95442,0.318063078073,39.3423323547,38.0353053959
2017-02-15 15:35:09.952793,1486741.05517,-1311376.28764,38.9662601854,36.4032843828,1390993.48884,0.320085359196,38.9753612201,36.546072743,1021623.8923,0.320617457179,39.3150396954,37.9931919861
2017-02-15 15:36:14.299414,1500212.62964,0.331920293478,38.8837946379,36.4746131243,1406135.64122,0.334349543237,38.9053775116,36.6052766337,1031383.16116,0.32195528148,39.273444642,38.031878537
2017-02-15 15:37:18.597899,1502094.06828,0.327648561466,38.9720205232,36.453924822,1410177.07538,0.311537122993,38.9736223164,36.573122004,1031626.72503,0.316956458838,39.3051928216,38.0047453388
2017-02-15 15:38:22.930516,1499959.49245,0.327840852217,38.9132871659,36.4342566837,1408239.87284,0.320580332432,38.9458646218,36.5767302891,1028788.60279,0.33325643348,39.298836861,38.0416851602
2017-02-15 15:39:26.986164,1500988.47593,0.329286576893,38.8882755728,36.4641970672,1408689.10278,0.322057848243,38.9307746192,36.5961481805,1033357.75973,0.317285598846,39.2716849823,38.0351117687
2017-02-15 15:40:29.697727,1498389.39368,0.319128081099,38.9420386857,36.4263704637,1405916.59597,0.316854944761,38.9656401119,36.517047546,1028918.66987,0.317883875726,39.3048083994,38.0007505519
2017-02-15 15:41:33.959134,1496429.61914,0.33106979289,39.0078064128,36.4419900748,1405116.82807,2.9447201953,39.0189141876,36.5810279899,1030277.86023,0.323872083406,39.3070013201,38.0261695751
2017-02-15 15:42:38.441688,1492583.66001,0.332588574016,38.8806386241,36.4637152313,1393935.30259,0.326349265494,38.8975225629,36.5683951144,1028260.7767,0.323751375343,39.2513228957,38.0231036428
2017-02-15 15:43:42.556275,1500244.56894,1567876.57431,38.977666176,36.4274105057,1406844.71267,2.59434977673,38.985794096,36.5684371835,1033750.25302,0.33163115556,39.3034320807,38.0036548026
