mjd,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_err_0,aperture_sum_err_1,aperture_sum_err_2,bkg,fwhm,id,peak_flux,uncertainty,xcenter,ycenter
57799.5960127339,717800.42890625,1129305.1711718752,1626004.023046875,572.3937769734824,608.3579525058213,639.9145784482264,73.59753084482362,8.377877385726743,1.0,887.609375,32.76188278198242,910.0903717769702,244.64515976715808
57799.5967534706,715433.329609375,1124572.8084375001,1618584.6015625,573.1675908245605,608.71206096133,639.8804385488841,72.73949860682077,8.17197048032394,1.0,892.107421875,32.32198715209961,910.3978144326821,244.42191204172371
57799.5974942148,719346.6271093751,1123965.4291406248,1616016.375,583.7305367509244,617.8317261114518,648.3820590471108,73.07999757114918,8.157961220963283,1.0,891.107421875,33.999114990234375,909.5699142615297,245.31205721008985
57799.5982349515,699906.6905468751,1115869.37328125,1601797.028515625,556.6319518819927,594.3159213144557,625.7781950466991,74.89246643814464,8.321403279077158,1.0,898.92578125,34.56314468383789,909.428452717501,244.41617667155916
57799.5989641175,731981.39421875,1127644.6427343753,1618647.510703125,601.250308922829,632.8505437570884,662.4240371584809,71.18280878565307,7.745077995503585,1.0,864.85546875,33.45441818237305,910.4770898238804,244.62205881655436
57799.5997048616,735588.928515625,1122844.8567968751,1596889.4553124998,613.1568385584226,642.8503119472754,670.5765956117731,73.00453335991821,7.644175305122871,1.0,878.5078125,33.43990707397461,909.4446958709666,244.56672453936
57799.6004571766,772273.5098437499,1126414.98828125,1604322.7683593747,705.8892854421308,727.3789737077997,751.8297998987184,69.40299496588705,6.297881071695531,1.0,881.919921875,32.0687141418457,910.2705214435325,244.9025940059848
57799.6011863425,746440.744140625,1124507.320859375,1588667.4729687502,636.5818250613775,663.8389297492079,689.804024775137,72.86504667467648,7.288209543055574,1.0,873.1171875,33.312137603759766,909.244900194233,244.48782929387977
57799.6019386575,760742.60234375,1125431.3111718749,1600744.269609375,665.9112905323956,690.1219094289137,715.5983400596399,69.53365642876962,6.8103965976460215,1.0,846.458984375,31.230802536010742,911.1763445624533,244.58860500930766
57799.6026678234,761285.658046875,1123260.9429687501,1592902.291484375,662.8893481881303,686.86535193737,712.0776666431192,69.97353873642443,7.073240865431907,1.0,841.068359375,32.13024139404297,909.8589525616433,244.7880408805664
