,g_a_flux,g_a_x,g_a_y,g_b_flux,g_b_x,g_b_y,g_c_flux,g_c_x,g_c_y
2017-02-15 14:18:14.529240,4363127.797466038,39.66028197002861,39.51513221517321,4132821.9104849854,39.63533330705206,39.47665596428455,3679347.972240357,39.57590839390883,39.50450928680642
2017-02-15 14:19:18.961023,4357808.166995514,39.68747273507551,39.488784589878414,4133737.5278277546,39.64725931060828,39.462058009170256,3677634.3949657967,39.59746077536104,39.49880392552568
2017-02-15 14:20:23.220731,4372872.859494406,39.63591661182007,39.55050768113187,4143383.123936312,39.6084584795696,39.502702818248274,3688283.6165978825,39.57810633941193,39.515634432311295
2017-02-15 14:21:26.308946,4381778.484982733,39.61999002610563,39.49153808273094,4146420.477742921,39.59299832879525,39.459044036678314,3694366.685031531,39.584024823362306,39.509393026397944
2017-02-15 14:22:30.000543,4384001.76560649,39.68019385002339,39.49790233643049,4157943.588968005,39.64080654544313,39.46892780841763,3689067.303819976,39.587684989606764,39.49666282906492
2017-02-15 14:23:34.071602,4380935.221673465,39.60251389716341,39.496517344725625,4153335.1364294486,39.58115719693672,39.462304118757146,3682130.027388309,39.56390674687323,39.501308850950984
2017-02-15 14:24:37.927873,4368141.794775627,39.667797546162134,39.51022780313384,4138079.3117034426,39.64440761523738,39.464657905510435,3660538.511072411,39.59036998705597,39.510429589835304
2017-02-15 14:25:41.511239,4374583.616940322,39.609879560510315,39.50318431388355,4138542.4591253656,39.58273360721813,39.457525935154095,3664100.1119463993,39.561195391401554,39.506045769506656
2017-02-15 14:26:45.428008,4394922.390315514,39.72130492669272,39.496646517729,4160903.0627515106,39.68110758161282,39.466144236873596,3679986.592360945,39.6047630017198,39.49303519868042
2017-02-15 14:27:50.522880,4404682.972571076,39.63186119137246,39.51773994576672,4166547.232784939,39.60210652521761,39.4726506656378,3684056.5504727084,39.57970480292119,39.50705352593297
2017-02-15 14:28:53.907003,4406235.008397021,39.656425382099506,39.51142283869983,4163724.573170471,39.62849104263533,39.478462154267675,3682802.5908886436,39.578982209395654,39.50602393524793
2017-02-15 14:29:58.119715,4419723.5057091955,39.62433644526018,39.49789153429516,4185068.103618166,39.58771640700171,39.46076679083232,3702960.4613088975,39.579072935429764,39.502484302966735
2017-02-15 14:31:01.691313,4418302.432442896,39.661954468766424,39.50677034853395,4188700.92984159,39.61964042611533,39.47787716027391,3707483.9329643548,39.58125199627776,39.503476209873256
2017-02-15 14:32:05.840900,4435894.192063019,39.64434965617884,39.47982323429779,4196238.579492411,39.618521459294485,39.448140163480886,3721914.272713623,39.57038969463818,39.486363968021166
2017-02-15 14:33:09.656496,4449439.656690728,39.64286572376431,39.5058269727941,4210256.147129774,39.61390300046058,39.48504848721823,3724790.069902842,39.558738482770096,39.49708516559834
2017-02-15 14:34:12.475163,4453086.129579906,39.64318304963136,39.4968228175748,4218786.667129969,39.61450083940015,39.470762177676434,3739878.7846452575,39.57291238784617,39.502108956320775
2017-02-15 14:35:15.458593,4483518.15772839,39.63196899578211,39.466717060817494,4245732.756064868,39.604748278316414,39.44494003894824,3768474.828921715,39.57981544328443,39.49143034418338
2017-02-15 14:36:20.203400,4491509.242282415,39.647306341782915,39.50302795133191,4260478.596654825,39.6215818611376,39.4717037310349,3789716.072892307,39.56783698267122,39.48462831069726
2017-02-15 14:37:23.039619,4505654.857856898,39.62828785807895,39.465290339528124,4274061.787774654,39.593156151036666,39.45310163865371,3804262.188330315,39.562453250567664,39.495513728172455
