,z_a_flux,z_a_x,z_a_y,z_b_flux,z_b_x,z_b_y,z_c_flux,z_c_x,z_c_y
2017-02-15 14:18:15.853140,1549916.7368670027,38.938235938465034,37.102682586370314,1451915.17280908,38.98592886334893,37.19809635435426,1170201.1212102282,39.27492403390249,38.34711249269862
2017-02-15 14:19:19.198086,1532270.305417071,38.982948413572814,37.016292977904186,1436520.1705337954,39.0218240702849,37.1319590509346,1150469.838248115,39.29079647836617,38.32441420683691
2017-02-15 14:20:23.215785,1563443.281658914,38.87616845962176,37.14069694925407,1473325.708958216,38.91091616776471,37.22957150169327,1169552.7024962371,39.26453950576315,38.40738297683239
2017-02-15 14:21:27.114902,1520567.53624631,38.86299526638902,37.02315314157614,1418401.934802103,38.88455761659669,37.17251443093276,1147701.1178306115,39.24585556186868,38.342350554265
2017-02-15 14:22:30.800449,1546461.2333042384,38.9764316973199,37.02289735456991,1455032.1024546507,38.99554491208419,37.13944539766552,1157973.2258154952,39.304796087311864,38.3509160745819
2017-02-15 14:23:34.261045,1530656.4764454623,38.82299338933078,36.99426126600811,1428874.1655121914,38.85258838858406,37.132453941160485,1140288.4047731068,39.20791445816745,38.34058453734234
2017-02-15 14:24:39.082813,1577586.7521296325,38.942681606332144,37.01552712727251,1479635.472678882,38.96109946283013,37.12590379696099,1160685.2230591718,39.268156859040154,38.327945772696154
2017-02-15 14:25:42.820236,1532469.0626134365,38.81377657835627,36.94786657327106,1430735.7235520165,38.81725110469741,37.0640619680962,1133581.5643175112,39.21630973720297,38.29289544901006
2017-02-15 14:26:47.756874,1560641.967476958,39.04422201877381,36.94341211650605,1461961.9841116313,39.06075309139052,37.05272025694908,1146374.5748354937,39.33181724821399,38.29261057575718
2017-02-15 14:27:50.695398,1556955.4419472092,38.89637778909376,36.98679292820534,1455624.1863058798,38.88249808584732,37.09068412966167,1143553.7081395404,39.23853262502946,38.303159926241285
2017-02-15 14:28:54.712103,1558125.3196817357,38.91146035228593,36.97133401098101,1458852.532826086,38.93294287900171,37.09804752765026,1145926.505678883,39.28836289273191,38.29155027915004
2017-02-15 14:29:58.324608,1539963.802810242,38.874396312535,36.971547579588126,1438380.3352694474,38.89267967339005,37.06461862869763,1133573.8869661884,39.25763509956817,38.29235557686704
2017-02-15 14:31:02.677187,1554590.9066117625,38.92070559236954,36.98593249289454,1457656.0256714304,38.94584985589332,37.09284359516482,1142078.7786751813,39.27070125026075,38.30146850403568
2017-02-15 14:32:06.764851,1553254.420809916,38.912078465278675,36.93860558164259,1448385.4584317761,38.92841300461497,37.069618765485764,1138743.3450920698,39.263661158230995,38.277724148015864
2017-02-15 14:33:11.579204,1557496.0023644003,38.901229444262405,36.945085670793794,1456052.8750308314,38.92567586588596,37.06546357109335,1140551.8779742282,39.24946287213094,38.315048677646736
2017-02-15 14:34:15.522805,1563501.7413243367,38.9198433155277,36.960854172581605,1468046.1270253153,38.94384646004034,37.07460796641174,1145435.8641562124,39.25583173110116,38.27740663720233
