,r_a_flux,r_a_x,r_a_y,r_b_flux,r_b_x,r_b_y,r_c_flux,r_c_x,r_c_y
2017-02-15 14:18:12.963052,3453579.588365304,39.50143209858977,39.28809309901207,3302912.1936763907,39.43916871948885,39.01864074818211,2715797.226714407,39.766965840354736,39.385470089450955
2017-02-15 14:18:45.888896,3452255.1305449796,39.47082853923469,39.24406797081095,3288068.5032906537,39.45293918755015,38.97485034406677,2707337.112440358,39.77089743374063,39.37270546759058
2017-02-15 14:19:20.626707,3445251.0333470013,39.53645416187834,39.217507855931395,3286026.949678814,39.48040188009247,38.95122269241928,2698875.937834538,39.78621186873747,39.374566119022404
2017-02-15 14:19:55.560678,3454060.0600963673,39.47248443728533,39.27612437493856,3294720.105769099,39.44666011459481,39.00052950424448,2710551.4745299295,39.77340542455196,39.39142233431265
2017-02-15 14:20:30.195399,3450801.920362912,39.48151799951119,39.31110876110359,3295708.0811189897,39.42662956115939,39.024411003688925,2714576.3756777276,39.75889778518655,39.39926277981975
2017-02-15 14:21:04.420284,3457249.517326723,39.42579181342264,39.338165573866156,3304270.7272449513,39.379523786150585,39.058003542122115,2720215.025477783,39.73913133866751,39.41802372272701
2017-02-15 14:21:37.238199,3453737.417063022,39.39071996534961,39.24256646144429,3296183.8358198004,39.34557828114606,38.964176952600674,2713522.581782279,39.71999839847195,39.37935089669323
2017-02-15 14:22:11.316990,3450021.508812044,39.4999796689156,39.20360573629369,3292414.5011237953,39.48174141051056,38.92551856558158,2706516.0977460933,39.78918406850378,39.378275257025855
2017-02-15 14:22:45.568785,3444398.302412823,39.51893433760041,39.31154114812603,3287139.119514267,39.439694326676914,39.016418267345124,2698358.1189426985,39.77422452030168,39.41759521956001
2017-02-15 14:23:19.862605,3442530.846340122,39.4444775907302,39.248360107813134,3282864.964107425,39.43954656026186,38.96474971004707,2693101.8425147124,39.76868191426052,39.37564843933296
2017-02-15 14:23:53.444611,3431375.1224183743,39.42642034022661,39.24170038399064,3273828.96892801,39.393408547171326,38.96401283565884,2675676.8246796746,39.74892654726733,39.383710126352305
2017-02-15 14:24:27.603426,3420233.9182756953,39.45709312174939,39.236124353243525,3265264.694925394,39.4254335818777,38.956491069066814,2664549.3713403787,39.75328314289969,39.385143914061125
2017-02-15 14:25:01.941206,3417513.9167703358,39.520917326409894,39.2841215812764,3257619.925904529,39.480156510361276,38.99201357826915,2655703.434242922,39.7964158202278,39.411136951474234
2017-02-15 14:25:36.510157,3408329.2546518054,39.486228653276214,39.23896158956256,3246118.4128798614,39.44748082796981,38.94448041223458,2647784.219449713,39.79059353727822,39.36338481765129
2017-02-15 14:26:09.265915,3409523.524201627,39.30325863794578,39.2562675355587,3254720.1639131047,39.28270209388406,38.96156610864273,2651548.5690330407,39.697930062093846,39.3873300356944
2017-02-15 14:26:43.690636,3416433.822103844,39.525815659938814,39.240058277461614,3254608.65792996,39.49594218621868,38.95150881868224,2651054.6570215905,39.807092891335856,39.36960190433053
2017-02-15 14:27:17.791508,3426782.275812766,39.57389107465729,39.24646994372888,3266240.001747324,39.524485381323025,38.94941340634325,2662855.1884501013,39.82974537775112,39.37475737229855
2017-02-15 14:27:52.314471,3423042.3119045775,39.46089654631213,39.2316046759699,3267125.2956462083,39.410787029541765,38.9482198762164,2663423.0861784928,39.7630747204182,39.37031965507633
2017-02-15 14:28:26.687305,3412000.0798143866,39.45667383762807,39.30924229832391,3251389.0261190915,39.41594212531702,39.01252080782362,2648326.659454873,39.785347737246276,39.41237350947208
2017-02-15 14:29:01.100053,3407065.940475084,39.44784487444933,39.29486746032399,3249154.2287761634,39.44701492664471,39.00004087205867,2642741.148478561,39.78261002617207,39.3981505297208
2017-02-15 14:29:35.016006,3422746.0619080053,39.457282890118734,39.2045901114949,3261403.7878026934,39.41449886573599,38.91562526195731,2654671.762059127,39.757862400006864,39.36331565473912
2017-02-15 14:30:09.255758,3421642.879794228,39.44787728722808,39.273126143060914,3264967.705493279,39.394350801347244,38.995318266584945,2658230.0290688025,39.7687507001067,39.384753151276314
2017-02-15 14:30:43.257595,3429277.5439118124,39.46610559377759,39.28696460170202,3264236.8033542456,39.4062602735335,38.99928160292443,2660685.3995731464,39.788176001949076,39.39068004082797
2017-02-15 14:31:17.707479,3415323.6054042345,39.50665829003573,39.26833977954303,3259124.285479393,39.467044970312365,38.97457276492986,2656823.236296926,39.79825672216262,39.38574360452783
